id;Consent_000_RAW;Consent_001_RAW;CRT7_01_RAW;CRT7_02_RAW;CRT7_03_RAW;CRT7_04_RAW;CRT7_05_RAW;CRT7_06_RAW;CRT7_07_RAW;ESM_01_RAW;ESM_02_RAW;ESM_03_RAW;ESM_04_RAW;ESM_05_RAW;ESM_06_RAW;ESM_07_RAW;ESM_08_RAW;ESM_09_RAW;ESM_10_RAW;ESM_11_RAW;Goodbye_001_RAW
21;"";acepto participar;"{""""Q0"""":""""82""""}";"{""""Q0"""":""""72""""}";"{""""Q0"""":""""42""""}";"{""""Q0"""":""""45""""}";"{""""Q0"""":""""49""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";qtuffal924zzahwts3fx
20;"";acepto participar;"{""""Q0"""":""""69""""}";"{""""Q0"""":""""76""""}";"{""""Q0"""":""""40""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""20""""}";"{""""Q0"""":""""47""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";h2geg52nhpwpn1cc4cvv
23;"";acepto participar;"{""""Q0"""":""""72""""}";"{""""Q0"""":""""42""""}";"{""""Q0"""":""""45""""}";"{""""Q0"""":""""49""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""30""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";tyc1w4vypr5qhwbwswn9
30;"";acepto participar;"{""""Q0"""":""""47""""}";"{""""Q0"""":""""81""""}";"{""""Q0"""":""""57""""}";"{""""Q0"""":""""60""""}";"{""""Q0"""":""""32""""}";"{""""Q0"""":""""44""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";s24y2dkj0ms8cdp769qo
22;"";acepto participar;"{""""Q0"""":""""76""""}";"{""""Q0"""":""""40""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""20""""}";"{""""Q0"""":""""47""""}";"{""""Q0"""":""""81""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";lgnmrxf32ph511u3hqvq
24;"";acepto participar;"{""""Q0"""":""""40""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""20""""}";"{""""Q0"""":""""47""""}";"{""""Q0"""":""""81""""}";"{""""Q0"""":""""57""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";d3s1ulus32q71yq6pvrf
25;"";acepto participar;"{""""Q0"""":""""42""""}";"{""""Q0"""":""""45""""}";"{""""Q0"""":""""49""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""30""""}";"{""""Q0"""":""""37""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";fc7gazzf21rqlgc8doqv
26;"";acepto participar;"{""""Q0"""":""""38""""}";"{""""Q0"""":""""20""""}";"{""""Q0"""":""""47""""}";"{""""Q0"""":""""81""""}";"{""""Q0"""":""""57""""}";"{""""Q0"""":""""60""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";aedpj9cgs47tfe179rlb
29;"";acepto participar;"{""""Q0"""":""""49""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""30""""}";"{""""Q0"""":""""37""""}";"{""""Q0"""":""""51""""}";"{""""Q0"""":""""52""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";94n9utzskrt6xnl71pfc
27;"";acepto participar;"{""""Q0"""":""""45""""}";"{""""Q0"""":""""49""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""30""""}";"{""""Q0"""":""""37""""}";"{""""Q0"""":""""51""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";f3m68wam8jsah232v6vr
